ID_LAUDO;Ano;Mes;Sistema;Subsistema;Descricao;Tipo_Falha;Gravidade;Urgencia;Tendencia;GUT;Prioridade;Responsavel;Local;Local_Publico;Detalhe_Unidade;Status_Correcao;Data_Conclusao
019/2024;2024;12;Civil;Unidade / fachada;Fim de vida útil de selante / rejunte com infiltração em unidade;Degradação;;;;;2;Condomínio;Unidade;Unidade;1207-B;Aberto;
019/2024;2024;12;Civil;Esquadrias;Janela com dificuldade de abertura e ausência de selante;Manutenção;;;;;2;Unidade;Unidade;Unidade;1207-B;Aberto;
019/2024;2024;12;Civil;Unidade / janela;Falha de vedação / calafetação abaixo de janelas;Execução;;;;;2;Unidade;Unidade;Unidade;1408-B;Aberto;
020/2024;2024;12;Civil;Piso térreo;Manifestações patológicas em revestimento de piso;Degradação;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
001/2025;2025;01;Hidráulico;Unidade / deck piscina;Infiltração ativa em escada com origem associada a deck/ducha sem impermeabilização adequada;Execução;;;;;2;Unidade;Área comum;Área comum;1804-B;Aberto;
004/2025;2025;01;Civil;Reservatórios;Ausência / necessidade de ART para manutenção de reservatórios;Gestão;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Iluminação de emergência;Luminárias inoperantes;Manutenção;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Iluminação de emergência;Circuito sem identificação no quadro elétrico;Projeto;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Iluminação de emergência;Circuito compartilhado com outros sistemas / não exclusivo;Projeto;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Sinalização de emergência;Plaqueta de sinalização quebrada ou ausente;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Porta corta-fogo;Porta não fecha automaticamente;Manutenção;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
005/2025;2025;01;Incêndio;Porta corta-fogo;Fechadura não tranca porta como normatizado;Manutenção;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Elétrico;Painel geral;DPS do painel geral com especificação divergente do projeto;Projeto;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Elétrico;Academia;Quadro de distribuição da academia sem tampa de proteção;Execução;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Elétrico;Sala de jogos 02;Módulo de tomada do frigobar solto;Execução;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Elétrico;Sala de jogos 01;Tomadas baixas sem proteção;Segurança;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Elétrico;CFTV;DPS do CFTV em falha no QDFL bloco A2;Manutenção;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
006/2025;2025;04;Incêndio;Porta corta-fogo;Porta corta-fogo do térreo do bloco A1 travando por atrito com o piso;Execução;;;;;1;Condomínio;Área comum;Área comum;;Aberto;
009/2025;2025;05;Hidráulico;Unidade;Infiltração ativa em área de serviço/cozinha do apto 302-A;Execução;;;;;2;Unidade;Unidade;Unidade;302-A;Aberto;
010/2025;2025;08;Elétrico;Elevadores;Ausência de dispositivos de proteção contra sobretensão no painel dos elevadores;Projeto;4;5;4;80;1;Condomínio;Área comum;Área comum;;Aberto;
011/2025;2025;08;Civil;Fachada;Trinca contínua na interface entre viga e parede de vedação;Degradação;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
012/2025;2025;08;Elétrico;Garagem;Ausência de tampas em trechos de eletrodutos metálicos;Segurança;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
012/2025;2025;08;Elétrico;Garagem;Exposição de partes vivas / condutores energizados;Segurança;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
012/2025;2025;08;Elétrico;Garagem;Conduítes rígidos obsoletos ou sem encaixe adequado;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
012/2025;2025;08;Incêndio;Extintores;Falha na sinalização complementar / bases dos extintores;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
012/2025;2025;08;Gás;Rede de distribuição;Necessidade de manutenção corretiva em válvulas / registros do sistema de gás;Manutenção;;;;;2;Condomínio;Área comum;Área comum;;Aberto;
013/2025;2025;08;Civil;Unidade;Trinca vertical entre pilar e alvenaria por movimentação térmica;Degradação;;;;;3;Unidade;Unidade;Unidade;1602-A;Aberto;
014/2025;2025;08;Incêndio;Iluminação de emergência;Luminárias inoperantes;Manutenção;5;5;4;100;1;Condomínio;Área comum;Área comum;;Aberto;
014/2025;2025;08;Incêndio;Iluminação de emergência;Circuito sem identificação no quadro elétrico;Projeto;5;5;4;100;1;Condomínio;Área comum;Área comum;;Aberto;
014/2025;2025;08;Incêndio;Iluminação de emergência;Circuito compartilhado com outros sistemas;Projeto;5;5;4;100;1;Condomínio;Área comum;Área comum;;Aberto;
